ISO3,country,inc_group_2019,stage_1,stage_2,stage_3,stage_3_adv,stage_2019
ALB,Albania,Lower-middle,1981,1980-2000,1950-1980,,Stage 3
BLR,Belarus,Upper-middle,1961,2000-2019,1950-1980,1980-2000,Stage 3
BGR,Bulgaria,Upper-middle,1961,2000-2019,1980-2000,,Stage 3
GRC,Greece,Upper-middle,1960,1950-1980,1950-1980,1980-2000,Stage 3
HUN,Hungary,Upper-middle,1996,1980-2000,1980-2000,2000-2019,Stage 3
LVA,Latvia,Upper-middle,1960,2000-2019,1950-1980,,Stage 3
PRT,Portugal,Upper-middle,1977,1980-2000,1980-2000,,Stage 3
MDA,Republic of Moldova,Lower-middle,2011,2000-2019,2000-2019,1980-2000,Stage 3
ROU,Romania,Upper-middle,1991,1980-2000,1980-2000,,Stage 3
RUS,Russian Federation,Upper-middle,1986,2000-2019,1950-1980,1980-2000,Stage 3
UKR,Ukraine,Lower-middle,1961,2000-2019,1950-1980,1980-2000,Stage 3
DZA,Algeria,Upper-middle,1999,1980-2000,2000-2019,,Stage 3
ARM,Armenia,Upper-middle,1998,2000-2019,1980-2000,,Stage 3
AZE,Azerbaijan,Upper-middle,2010,2000-2019,2000-2019,,Stage 3
EGY,Egypt,Lower-middle,2015,2000-2019,,,Stage 2
GEO,Georgia,Upper-middle,1996,1950-1980,2000-2019,,Stage 3
IRQ,Iraq,Upper-middle,2018,2000-2019,,,Stage 2
JOR,Jordan,Lower-middle,1990,1980-2000,2000-2019,,Stage 3
LBN,Lebanon,Upper-middle,1991,1980-2000,1950-1980,,Stage 3
LBY,Libya,Upper-middle,1993,2000-2019,1980-2000,,Stage 3
MAR,Morocco,Lower-middle,2008,2000-2019,,,Stage 2
PSE,State of Palestine,Lower-middle,1997,1980-2000,2000-2019,,Stage 3
SYR,Syrian Arab Republic,Low,1991,2000-2019,2000-2019,,Stage 3
TUR,Türkiye,Upper-middle,1996,2000-2019,2000-2019,,Stage 3
TUN,Tunisia,Lower-middle,1994,2000-2019,1980-2000,,Stage 3
BGD,Bangladesh,Lower-middle,2014,2000-2019,2000-2019,,Stage 3
IND,India,Lower-middle,2017,2000-2019,2000-2019,,Stage 3
IRN,Iran (Islamic Republic of),Upper-middle,2000,1980-2000,2000-2019,,Stage 3
KAZ,Kazakhstan,Upper-middle,2013,2000-2019,1980-2000,1980-2000,Stage 3
KGZ,Kyrgyzstan,Lower-middle,2017,1950-1980,1980-2000,,Stage 3
LKA,Sri Lanka,Lower-middle,1993,1950-1980,1980-2000,,Stage 3
TJK,Tajikistan,Lower-middle,2017,2000-2019,,,Stage 2
UZB,Uzbekistan,Lower-middle,2011,2000-2019,1980-2000,,Stage 3
KHM,Cambodia,Low,2019,,,,Stage 1
CHN,China,Upper-middle,1995,1980-2000,1980-2000,,Stage 3
IDN,Indonesia,Lower-middle,2018,2000-2019,2000-2019,,Stage 3
MYS,Malaysia,Upper-middle,1986,1950-1980,1980-2000,2000-2019,Stage 3
