ISO3,Country,Stage Reached,adv_stage3
ALB,Albania,Stage 3,
BLR,Belarus,Stage 3,Advanced Stage 3
BGR,Bulgaria,Stage 3,
GRC,Greece,Stage 3,Advanced Stage 3
HUN,Hungary,Stage 3,Advanced Stage 3
LVA,Latvia,Stage 3,
PRT,Portugal,Stage 3,
MDA,Republic of Moldova,Stage 3,Advanced Stage 3
ROU,Romania,Stage 3,
RUS,Russian Federation,Stage 3,Advanced Stage 3
UKR,Ukraine,Stage 3,Advanced Stage 3
DZA,Algeria,Stage 3,
ARM,Armenia,Stage 3,
AZE,Azerbaijan,Stage 3,
EGY,Egypt,Stage 2,
GEO,Georgia,Stage 3,
IRQ,Iraq,Stage 2,
JOR,Jordan,Stage 3,
LBN,Lebanon,Stage 3,
LBY,Libya,Stage 3,
MAR,Morocco,Stage 2,
PSE,State of Palestine,Stage 3,
SYR,Syrian Arab Republic,Stage 3,
TUR,Türkiye,Stage 3,
TUN,Tunisia,Stage 3,
BGD,Bangladesh,Stage 3,
IND,India,Stage 3,
IRN,Iran (Islamic Republic of),Stage 3,
KAZ,Kazakhstan,Stage 3,
KGZ,Kyrgyzstan,Stage 3,Advanced Stage 3
LKA,Sri Lanka,Stage 3,
TJK,Tajikistan,Stage 2,
UZB,Uzbekistan,Stage 3,
KHM,Cambodia,Stage 1,
CHN,China,Stage 3,
IDN,Indonesia,Stage 3,
MYS,Malaysia,Stage 3,Advanced Stage 3
MNG,Mongolia,Stage 3,
THA,Thailand,Stage 3,Advanced Stage 3
VNM,Viet Nam,Stage 3,Advanced Stage 3
CPV,Cabo Verde,Stage 3,
MUS,Mauritius,Stage 3,Advanced Stage 3
ARG,Argentina,Stage 3,Advanced Stage 3
BRB,Barbados,Stage 3,
BRA,Brazil,Stage 3,
CHL,Chile,Stage 3,Advanced Stage 3
COL,Colombia,Stage 3,
CRI,Costa Rica,Stage 3,Advanced Stage 3
CUB,Cuba,Stage 3,Advanced Stage 3
DMA,Dominica,Stage 3,Advanced Stage 3
DOM,Dominican Republic,Stage 3,Advanced Stage 3
ECU,Ecuador,Stage 3,Advanced Stage 3
